#9 Dream|John Lenno|#9 Dream by John Lennon|1975
Mother's Little Helper|Rolling Stones|Mother's Little Helper by Rolling Stones|1966
Move It On Over|George Thorogood|Move It On Over by George Thorogood|
Move Over|Janis Joplin|Move Over by Janis Joplin|1971
Movin' On|Bad Company|Movin' On by Bad Company|
Movin' Out (Anthony's Song)|Billy Joel|Movin' Out (Anthony's Song) by Billy Joel|1977
Moving In Stereo|The Cars|Moving In Stereo by The Cars|1978
Mr. Brownstone|Guns N' Roses|Mr. Brownstone by Guns N' Roses|1987
Mr. Crowley|Ozzy Osbourne|Mr. Crowley by Ozzy Osbourne|1980
Mr. Jones|Counting Crows|Mr. Jones by Counting Crows|1993
Mr. Soul|Buffalo Springfield|Mr. Soul by Buffalo Springfield|1967
Mr. Tinkertrain|Ozzy Osbourne|Mr. Tinkertrain by Ozzy Osbourne|1992
Mrs. Robinson|Simon & Garfunkel|Mrs. Robinson by Simon & Garfunkel|1968
Mrs. Robinson|The Lemonheads|Mrs. Robinson by The Lemonheads|
Must of Got Lost|J. Geils Band|Must of Got Lost by J. Geils Band|
Mutha (Don't Wanna Go To School Today)|Extreme|Mutha (Don't Wanna Go To School Today) by Extreme|
My Best Friend's Girl|The Cars|My Best Friend's Girl by The Cars|
My City Was Gone|The Pretenders|My City Was Gone by The Pretenders|1984
My Demons|Starset|My Demons by Starset|
My Generation|The Who|My Generation by The Who|1965
My Head's In Mississippi|ZZ Top|My Head's In Mississippi by ZZ Top|
My Hero|Foo Fighters|My Hero by Foo Fighters|1997
My Kinda Lover|Billy Squier|My Kinda Lover by Billy Squier|
My Life|Billy Joel|My Life by Billy Joel|1978
My Love|Paul McCartney & Wings|My Love by Paul McCartney & Wings|1973
My Michelle|Guns N' Roses|My Michelle by Guns N' Roses|1987
My Own Worst Enemy|Lit|My Own Worst Enemy by Lit|1999
My Sacrifice|Creed|My Sacrifice by Creed|
My Sharona|The Knack|My Sharona by The Knack|1979
My Sweet Lord|George Harrison|My Sweet Lord by George Harrison|1970
My Town|Michael Stanley|My Town by Michael Stanley|
Mysterious Ways|U2|Mysterious Ways by U2|1991
Mystery Achievement|The Pretenders|Mystery Achievement by The Pretenders|
N.i.b.|Black Sabbath|N.i.b. by Black Sabbath|1970
Natural Thing|The Doobie Brothers|Natural Thing by The Doobie Brothers|
Need You Tonight|INXS|Need You Tonight by INXS|1987
Neon Knights|Black Sabbath|Neon Knights by Black Sabbath|1980
Never|Heart|Never by Heart|
Never Been Any Reason|Head East|Never Been Any Reason by Head East|1975
Never Going Back Again|Fleetwood Mac|Never Going Back Again by Fleetwood Mac|1977
New Girl Now|Honeymoon Suite|New Girl Now by Honeymoon Suite|
New Kid In Town|Eagles|New Kid In Town by Eagles|1976
New Sensation|INXS|New Sensation by INXS|
New World Man|Rush|New World Man by Rush|1982
New Year's Day|U2|New Year's Day by U2|1983
New York State Of Mind|Billy Joel|New York State Of Mind by Billy Joel|1976
NIGHT FLIGHT|Led Zeppelin|NIGHT FLIGHT by Led Zeppelin|1975
Night Moves|Bob Seger|Night Moves by Bob Seger|1976
Night Moves|Wildlife|Night Moves by Wildlife|
Night Prowler|AC/DC|Night Prowler by AC/DC|1979
Night Time|J. Geils Band|Night Time by J. Geils Band|
Nineteen Hundred and Eighty Five|Paul McCartney & Wings|Nineteen Hundred and Eighty Five by Paul McCartney & Wings|
No Easy Way Out|Robert Tepper|No Easy Way Out by Robert Tepper|
No Excuses|Alice In Chains|No Excuses by Alice In Chains|1994
No Leaf Clover|Metallica|No Leaf Clover by Metallica|1999
No Matter What|Badfinger|No Matter What by Badfinger|1970
No More Mr. Nice Guy|Alice Cooper|No More Mr. Nice Guy by Alice Cooper|1973
No More No More|Aerosmith|No More No More by Aerosmith|1975
No More Tears|Ozzy Osbourne|No More Tears by Ozzy Osbourne|1991
No No Song|Ringo Starr|No No Song by Ringo Starr|1974
No One Knows|Queens of the Stone Age|No One Knows by Queens of the Stone Age|2002
No One Like You|Scorpions|No One Like You by Scorpions|1982
No One to Depend On|Santana|No One to Depend On by Santana|1971
No One to Run With|Allman Brothers Band|No One to Run With by Allman Brothers Band|1994
No Quarter|Led Zeppelin|No Quarter by Led Zeppelin|1973
No Rain|Blind Melon|No Rain by Blind Melon|1992
No Reply At All|Genesis|No Reply At All by Genesis|1981
No Sleep Till Brooklyn|Beastie Boys|No Sleep Till Brooklyn by Beastie Boys|1986
No Sugar Tonight / New Mother Nature|Guess Who|No Sugar Tonight / New Mother Nature by Guess Who|1970
No Time|Guess Who|No Time by Guess Who|
No Turning Back|Sherbs|No Turning Back by Sherbs|
Nobody's Fault But Mine|Led Zeppelin|Nobody's Fault But Mine by Led Zeppelin|
Nobody's Fool|Cinderella|Nobody's Fool by Cinderella|1986
Norwegian Wood|The Beatles|Norwegian Wood by The Beatles|1965
NOT FADEAWAY/GOING /AWAY|Grateful Dead|NOT FADEAWAY/GOING /AWAY by Grateful Dead|
Not for You|Pearl Jam|Not for You by Pearl Jam|1994
Nothin' at All|Heart|Nothin' at All by Heart|
Nothin' But A Good Time|Poison|Nothin' But A Good Time by Poison|1988
Nothing Else Matters|Metallica|Nothing Else Matters by Metallica|1991
Nothing Is Easy|Jethro Tull|Nothing Is Easy by Jethro Tull|
November Rain|Guns N' Roses|November Rain by Guns N' Roses|1991
NOWHERE MAN|The Beatles|NOWHERE MAN by The Beatles|1965
OH DARLING|The Beatles|OH DARLING by The Beatles|1969
Oh Sherrie|Steve Perry|Oh Sherrie by Steve Perry|1984
Oh Very Young|Cat Stevens|Oh Very Young by Cat Stevens|
Oh Well|Fleetwood Mac|Oh Well by Fleetwood Mac|1969
Old Man|Neil Young|Old Man by Neil Young|1972
Old Time Rock & Roll|Bob Seger|Old Time Rock & Roll by Bob Seger|1978
On a Plain|Nirvana|On a Plain by Nirvana|1991
On the Dark Side|John Cafferty|On the Dark Side by John Cafferty|1983
On The Loose|Saga|On The Loose by Saga|
On the Road Again|Canned Heat|On the Road Again by Canned Heat|1968
On The Turning Away|Pink Floyd|On The Turning Away by Pink Floyd|1987
On Through The Night|Def Leppard|On Through The Night by Def Leppard|
Once In A Lifetime|Talking Heads|Once In A Lifetime by Talking Heads|1980
One|Metallica|One by Metallica|1988
One|U2|One by U2|1991
One Headlight|The Wallflowers|One Headlight by The Wallflowers|1996
One Love|Bob Marley|One Love by Bob Marley|1977
One Of These Days|Pink Floyd|One Of These Days by Pink Floyd|1971
One of These Nights|Eagles|One of These Nights by Eagles|1975
One Slip|Pink Floyd|One Slip by Pink Floyd|1987
One Thing Leads To Another|The Fixx|One Thing Leads To Another by The Fixx|1983
One Vision|Queen|One Vision by Queen|1985
One Way Or Another|Blondie|One Way Or Another by Blondie|1978
One Way Out|Allman Brothers Band|One Way Out by Allman Brothers Band|
One Way Street|Aerosmith|One Way Street by Aerosmith|
Only The Good Die Young|Billy Joel|Only The Good Die Young by Billy Joel|1977
Only the Young|Journey|Only the Young by Journey|1985
Only Time Will Tell|Asia|Only Time Will Tell by Asia|1982
Only You Know And I Know|Dave Mason|Only You Know And I Know by Dave Mason|
Ooh La La|Faces|Ooh La La by Faces|1973
Open Arms|Journey|Open Arms by Journey|1982
Orange Crush|R.E.M.|Orange Crush by R.E.M.|1988
Ordinary Average Guy|Joe Walsh|Ordinary Average Guy by Joe Walsh|1991
Out On The Tiles|Led Zeppelin|Out On The Tiles by Led Zeppelin|1970
Over the Hills and Far Away|Led Zeppelin|Over the Hills and Far Away by Led Zeppelin|1973
Over the Mountain|Ozzy Osbourne|Over the Mountain by Ozzy Osbourne|1981
Owner of a Lonely Heart|Yes|Owner of a Lonely Heart by Yes|1983
Oye Como Va|Santana|Oye Como Va by Santana|1970
P.s. I Love You|The Beatles|P.s. I Love You by The Beatles|1962
Paint It Black|Rolling Stones|Paint It Black by Rolling Stones|1966
Panama|Van Halen|Panama by Van Halen|1984
Panic in Detroit|David Bowie|Panic in Detroit by David Bowie|
Paper in Fire|John Mellencamp|Paper in Fire by John Mellencamp|1987
Paperback Writer|The Beatles|Paperback Writer by The Beatles|1966
Paradise By The Dashboard Light|Meat Loaf|Paradise By The Dashboard Light by Meat Loaf|1977
Paradise City|Guns N' Roses|Paradise City by Guns N' Roses|1987
Paranoid|Black Sabbath|Paranoid by Black Sabbath|1970
Party|Boston|Party by Boston|
Party On The Patio|ZZ Top|Party On The Patio by ZZ Top|
Patience|Guns N' Roses|Patience by Guns N' Roses|1988
Peace Frog|The Doors|Peace Frog by The Doors|1970
Peace of Mind|Boston|Peace of Mind by Boston|1976
Peaceful Easy Feeling|Eagles|Peaceful Easy Feeling by Eagles|1972
Peaches En Regalia|Frank Zappa|Peaches En Regalia by Frank Zappa|
Pearl Necklace|ZZ Top|Pearl Necklace by ZZ Top|1981
Peg|Steely Dan|Peg by Steely Dan|1977
Penny Lane|The Beatles|Penny Lane by The Beatles|1967
Penny On The Floor|Clarks|Penny On The Floor by Clarks|
People Are Strange|The Doors|People Are Strange by The Doors|1967
Perfect Strangers|Deep Purple|Perfect Strangers by Deep Purple|
Perry Mason|Ozzy Osbourne|Perry Mason by Ozzy Osbourne|1995
Persephone|Wishbone Ash|Persephone by Wishbone Ash|1980
Photograph|Def Leppard|Photograph by Def Leppard|1983
Photograph|Nickelback|Photograph by Nickelback|2005
Photograph|Ringo Starr|Photograph by Ringo Starr|1973
Piano Man|Billy Joel|Piano Man by Billy Joel|1973
Piece of My Heart|Janis Joplin|Piece of My Heart by Janis Joplin|1968
Piece of Your Action|Motley Crue|Piece of Your Action by Motley Crue|
Pinball Wizard|The Who|Pinball Wizard by The Who|1969
Pink|Aerosmith|Pink by Aerosmith|1997
Pink Cadillac|Bruce Springsteen|Pink Cadillac by Bruce Springsteen|1984
Pink Houses|John Mellencamp|Pink Houses by John Mellencamp|1984
Plain Jane|Sammy Hagar|Plain Jane by Sammy Hagar|
PLAY THAT FUNKY MUSIC|Wild Cherry|PLAY THAT FUNKY MUSIC by Wild Cherry|1976
Play the Game Tonight|Kansas|Play the Game Tonight by Kansas|1982
Please Please Me|The Beatles|Please Please Me by The Beatles|1963
Plush|Stone Temple Pilots|Plush by Stone Temple Pilots|1992
Point of Know Return|Kansas|Point of Know Return by Kansas|1977
Polly|Nirvana|Polly by Nirvana|1991
Positively 4th Street|Bob Dylan|Positively 4th Street by Bob Dylan|1965
Poundcake|Van Halen|Poundcake by Van Halen|1991
Pour Some Sugar On Me|Def Leppard|Pour Some Sugar On Me by Def Leppard|1987
Powderfinger|Neil Young|Powderfinger by Neil Young|1978
Prelude/angry Young Man|Billy Joel|Prelude/angry Young Man by Billy Joel|
Presence of the Lord|Blind Faith|Presence of the Lord by Blind Faith|1969
Presence of the Lord|Blind Melon|Presence of the Lord by Blind Melon|
Pretending|Eric Clapton|Pretending by Eric Clapton|1989
PRETTY WOMAN|Van Halen|PRETTY WOMAN by Van Halen|
Pride (In the Name of Love)|U2|Pride (In the Name of Love) by U2|1984
Pride And Joy|Stevie Ray Vaughan|Pride And Joy by Stevie Ray Vaughan|1983
Pride of Man|Quicksilver Messenger Service|Pride of Man by Quicksilver Messenger Service|
Proud Mary|Creedence Clearwater Revival|Proud Mary by Creedence Clearwater Revival|1969
Prove It All Night|Bruce Springsteen|Prove It All Night by Bruce Springsteen|1978
Psycho Killer|Talking Heads|Psycho Killer by Talking Heads|1977
Pulling Mussels|Squeeze|Pulling Mussels by Squeeze|1980
Pump It Up|Elvis Costello|Pump It Up by Elvis Costello|1978
Purple Haze|Jimi Hendrix|Purple Haze by Jimi Hendrix|1967
Purple Haze|Ozzy Osbourne|Purple Haze by Ozzy Osbourne|
Put Your Lights On (feat. Everlast)|Santana|Put Your Lights On (feat. Everlast) by Santana|1999
Question|The Moody Blues|Question by The Moody Blues|1970
Questions 67 and 68|Chicago|Questions 67 and 68 by Chicago|1969
R.O.C.K. In the U.S.A.|John Mellencamp|R.O.C.K. In the U.S.A. by John Mellencamp|1985
Racing in the Streets|Bruce Springsteen|Racing in the Streets by Bruce Springsteen|1978
Radar Love|Golden Earring|Radar Love by Golden Earring|1973
Radioactive|Imagine Dragons|Radioactive by Imagine Dragons|2012
Radioactive|The Firm|Radioactive by The Firm|1985
Rag Doll|Aerosmith|Rag Doll by Aerosmith|1987
Rain In the Summertime|The Alarm (IRS)|Rain In the Summertime by The Alarm (IRS)|
Rain On The Scarecrow|John Mellencamp|Rain On The Scarecrow by John Mellencamp|1985
Rainbow In the Dark|Dio|Rainbow In the Dark by Dio|
Raise Your Hands|Bon Jovi|Raise Your Hands by Bon Jovi|
Ramble On|Led Zeppelin|Ramble On by Led Zeppelin|1969
Ramblin' Gamblin' Man|Bob Seger|Ramblin' Gamblin' Man by Bob Seger|1968
Ramblin' Man|Allman Brothers Band|Ramblin' Man by Allman Brothers Band|1973
Ready For Love|Bad Company|Ready For Love by Bad Company|
Reason to Believe|Rod Stewart|Reason to Believe by Rod Stewart|1971
Rebel Rebel|David Bowie|Rebel Rebel by David Bowie|1974
Rebel Yell|Billy Idol|Rebel Yell by Billy Idol|1984
Recognition|Detective|Recognition by Detective|
Red|Sammy Hagar|Red by Sammy Hagar|1978
Red Barchetta|Rush|Red Barchetta by Rush|1981
Red House|Jimi Hendrix|Red House by Jimi Hendrix|1967
Red Rain|Peter Gabriel|Red Rain by Peter Gabriel|1986
Red Red Wine|UB40|Red Red Wine by UB40|1983
seuihs|EHIeu||2920
